State,City,Year,week,precip_sum,temp_mean,aqi_proxy_pm25
Andhra Pradesh,Amaravati,2025,1,0.0,24.475,77.06458333333333
Andhra Pradesh,Amaravati,2025,2,0.0,24.457142857142856,57.96666666666666
Andhra Pradesh,Amaravati,2025,3,0.0,25.014285714285712,49.38035714285714
Andhra Pradesh,Amaravati,2025,4,0.0,24.75714285714286,52.47380952380953
Andhra Pradesh,Amaravati,2025,5,0.1,26.3,39.03928571428572
Andhra Pradesh,Amaravati,2025,6,0.0,28.071428571428573,44.58690476190476
Andhra Pradesh,Amaravati,2025,7,0.1,28.02857142857143,35.42440476190476
Andhra Pradesh,Amaravati,2025,8,0.0,28.542857142857144,32.94107142857143
Andhra Pradesh,Amaravati,2025,9,0.2,28.442857142857143,34.22202380952381
Andhra Pradesh,Amaravati,2025,10,0.0,29.62857142857143,30.635714285714286
Andhra Pradesh,Amaravati,2025,11,0.1,29.842857142857145,21.495238095238093
Andhra Pradesh,Amaravati,2025,12,4.0,30.014285714285712,13.048214285714286
Andhra Pradesh,Amaravati,2025,13,1.0,31.214285714285715,33.46190476190476
Andhra Pradesh,Amaravati,2025,14,14.8,30.32857142857143,24.888095238095236
Andhra Pradesh,Amaravati,2025,15,6.699999999999999,30.942857142857143,22.101785714285715
Andhra Pradesh,Amaravati,2025,16,4.0,31.457142857142856,31.264285714285712
Andhra Pradesh,Amaravati,2025,17,0.6000000000000001,32.385714285714286,18.707738095238096
Andhra Pradesh,Amaravati,2025,18,12.0,31.800000000000004,14.608333333333333
Andhra Pradesh,Amaravati,2025,19,14.5,31.414285714285715,32.8922619047619
Andhra Pradesh,Amaravati,2025,20,53.8,32.042857142857144,38.25119047619047
Andhra Pradesh,Amaravati,2025,21,71.10000000000001,29.75714285714286,16.304761904761904
Andhra Pradesh,Amaravati,2025,22,3.5,30.75714285714286,26.9625
Andhra Pradesh,Amaravati,2025,23,1.1,33.55714285714286,31.13035714285714
Andhra Pradesh,Amaravati,2025,24,43.0,30.928571428571427,36.785714285714285
Andhra Pradesh,Amaravati,2025,25,8.2,31.942857142857147,15.43452380952381
Andhra Pradesh,Amaravati,2025,26,34.7,29.47142857142857,16.674404761904764
Andhra Pradesh,Amaravati,2025,27,25.5,28.914285714285715,13.506547619047618
Andhra Pradesh,Amaravati,2025,28,3.5,31.02857142857143,27.01607142857143
Andhra Pradesh,Amaravati,2025,29,28.1,31.228571428571428,19.08452380952381
Andhra Pradesh,Amaravati,2025,30,79.6,28.014285714285712,12.089880952380952
Andhra Pradesh,Amaravati,2025,31,3.2,30.442857142857143,20.410714285714285
